No_Occupant,Met,Clo,CO2_Outdoor,CO2_Indoor,Outdoor_Temp,Indoor_Temp,Outdoor_Humidity,Indoor_Humidity,Energy_Consumption_Light,Energy_Consumption_HVAC,Energy_Consumption_Others,Total_Energy_Consumption
3,0.91,0.777,444.2499321,1424.0104,31.45268275,19.6826484,80.3264,56.588025,0.097479722,2.123886038,0.0500437,2.271409459
2,0.87,0.788,445.2546581,1432.5651,31.83814458,21.14857561,79.4938,56.0152,0.155401282,3.760446166,0.06432226,3.980169708
3,0.98,0.799,446.2593841,1441.1198,30.26578551,18.52115104,78.6612,55.442375,0.119195565,4.253459894,0.067039767,4.439695226
4,0.9,0.81,445.9876,1449.6745,29.53220846,16.24316559,77.8286,54.86955,0.102605728,3.724049529,0.056869548,3.883524805
3,0.95,0.821,445.7158159,1458.2292,30.76797218,21.12310733,76.996,54.296725,0.095600422,2.036884283,0.057122724,2.189607429
3,0.96,0.832,445.4440317,1466.7839,29.00246609,20.64237776,76.1634,53.7239,0.096898466,2.542088428,0.057878923,2.696865817
2,0.91,0.843,445.1722476,1475.3386,28.29032638,19.7063171,75.3308,53.151075,0.071638209,2.400136828,0.05357673,2.525351767
4,0.98,0.854,444.9004635,1483.8933,27.88350879,22.41331712,74.4982,53.17236,0.105014613,1.817800677,0.059824203,1.982639493
5,0.99,0.865,444.6286793,1492.448,31.14134975,17.07056122,75.09872,53.193645,0.095580524,2.804790076,0.053591204,2.953961804
3,1.1,0.876,444.3568952,1501.0027,31.4828071,24.71979923,75.69924,53.43493,0.107222171,2.273199609,0.054436738,2.434858517
5,1.12,0.887,444.0851111,1509.5574,30.01110278,20.02874684,76.29976,53.676215,0.079786062,2.724177085,0.044655847,2.848618994
4,1.11,0.898,443.813327,1518.1121,33.99632569,15.45323155,76.90028,53.9175,0.07496234,2.44440427,0.045546492,2.564913102
3,1.21,0.887,443.5415428,1526.6668,34.15986934,17.35513582,77.5008,54.158785,0.111750739,2.286925982,0.064272024,2.462948745
5,1.3,0.876,443.2697587,1535.2215,32.95651572,19.30931979,78.10132,54.40007,0.078432083,2.78776516,0.045862158,2.912059401
4,1.3,0.865,442.9979746,1543.7762,28.15633725,20.73308075,78.70184,54.641355,0.056867048,1.523989074,0.043378384,1.624234506
4,1.22,0.854,442.7261904,1552.3309,30.29315159,20.54751417,79.30236,54.88264,0.097592915,2.305445069,0.052286393,2.455324377
5,1.13,0.843,442.4544063,1560.8856,29.39961697,21.17705924,79.90288,55.123925,0.155168428,2.362923718,0.057581694,2.57567384
4,1.33,0.832,442.1826222,1569.4403,29.41998515,19.87402974,80.5034,55.36521,0.117127161,1.658891674,0.053381391,1.829400226
5,1.13,0.821,441.910838,1577.995,32.10090538,23.408313,81.10392,55.606495,0.098053168,2.835952561,0.057910225,2.991915954
4,1,0.81,441.6390539,1586.5497,31.44754553,22.38387915,81.70444,55.84778,0.080707822,1.652631179,0.046404801,1.779743802
4,0.99,0.799,441.3672698,1595.1044,28.3702396,24.21144968,82.30496,56.089065,0.102442442,2.19921634,0.053693978,2.35535276
5,0.98,0.788,441.0954856,1603.6591,27.77804167,17.9413341,82.90548,56.33035,0.128389437,3.355471244,0.058679285,3.542539966
4,0.99,0.777,440.8237015,1512.2138,31.53622305,22.4322041,83.506,56.571635,0.060044292,2.326504147,0.043719415,2.430267854
4,0.98,0.766,440.5519174,1505.7685,31.676296,18.11411798,84.10652,56.81292,0.094300405,2.501417186,0.05320877,2.648926361
3,0.91,0.755,440.2801332,1499.3232,33.97591655,23.44255304,84.70704,57.054205,0.085986526,2.815928696,0.047373079,2.949288301
2,0.88,0.744,440.0083491,1492.8779,28.17299455,20.01305943,85.30756,57.29549,0.088489262,2.234012072,0.044295343,2.366796677
2,0.87,0.733,439.736565,1386.4326,30.96123028,17.21966298,85.90808,57.536775,0.063848172,1.952591512,0.043842145,2.06028183
2,0.88,0.722,439.4647809,1379.9873,28.19357542,17.68433215,86.5086,57.77806,0.068101257,2.583148059,0.054068728,2.705318044
2,0.88,0.711,439.1929967,1373.542,31.70382287,19.5910435,87.10912,58.019345,0.09843838,3.454371126,0.058397362,3.611206868
2,0.88,0.7,438.9212126,1367.0967,30.66173515,20.15758316,87.70964,58.26063,0.095979492,2.144994523,0.054016291,2.294990306
1,0.86,0.689,455.555952,1360.6514,27.80842307,18.7236503,88.31016,58.501915,0.119711629,2.800943941,0.05177671,2.97243228
1,0.82,0.678,434.876,1354.2061,29.73376601,19.38635861,88.91068,58.7432,0.149512732,1.89263525,0.05334602,2.095494002
1,0.83,0.667,440.7658,1347.7608,28.56417307,23.15871466,89.5112,58.984485,0.062402933,2.064192596,0.049389725,2.175985253
1,0.83,0.656,439.9807,1341.3155,30.08344607,24.71044665,90.11172,59.22577,0.072773075,1.998280957,0.044295343,2.115349376
1,0.84,0.656,439.1956,1334.8702,28.81958179,23.63754418,90.71224,59.467055,0.099982583,2.60717358,0.043842145,2.750998308
1,0.85,0.656,438.4105,1328.4249,32.27602751,23.27236816,90.54236,59.70834,0.060718191,1.786242277,0.054068728,1.901029196
1,0.85,0.656,437.6254,1321.9796,32.02482628,20.6952453,90.37248,59.949625,0.096648568,2.677993705,0.058397362,2.833039635
1,0.86,0.656,436.8403,1315.5343,28.2547969,17.41887479,90.2026,60.19091,0.128389437,4.311039598,0.054016291,4.493445326
4,0.87,0.618,436.0552,1309.089,30.56973415,19.20978501,90.03272,60.432195,0.060044292,2.234012072,0.05177671,2.345833074
5,0.87,0.689,435.2701,1350.6437,27.43176224,20.15569302,89.86284,60.67348,0.094300405,1.952591512,0.05334602,2.100237938
4,0.89,0.656,434.485,1392.1984,27.8733301,22.60348247,89.69296,60.914765,0.085986526,2.583148059,0.049389725,2.71852431
3,0.97,0.768,433.6999,1433.7531,29.19490226,20.08301908,89.52308,61.15605,0.088489262,3.454371126,0.044295343,3.587155731
3,0.95,0.89,432.9148,1475.3078,32.79680787,24.25711435,89.3532,61.397335,0.063848172,2.144994523,0.043842145,2.252684841
1,0.83,0.667,440.7658,1347.7608,28.56417307,23.15871466,89.5112,58.984485,0.062402933,2.064192596,0.049389725,2.175985253
1,0.83,0.656,439.9807,1341.3155,30.08344607,24.71044665,90.11172,59.22577,0.072773075,1.998280957,0.044295343,2.115349376
1,0.84,0.656,439.1956,1334.8702,28.81958179,23.63754418,90.71224,59.467055,0.099982583,2.60717358,0.043842145,2.750998308
1,0.85,0.656,438.4105,1328.4249,32.27602751,23.27236816,90.54236,59.70834,0.060718191,1.786242277,0.054068728,1.901029196
1,0.85,0.656,437.6254,1321.9796,32.02482628,20.6952453,90.37248,59.949625,0.096648568,2.677993705,0.058397362,2.833039635
1,0.86,0.656,436.8403,1315.5343,28.2547969,17.41887479,90.2026,60.19091,0.128389437,4.311039598,0.054016291,4.493445326
4,0.87,0.618,436.0552,1309.089,30.56973415,19.20978501,90.03272,60.432195,0.060044292,2.234012072,0.05177671,2.345833074
4,0.87,0.689,435.2701,1350.6437,27.43176224,20.15569302,89.86284,60.67348,0.094300405,1.952591512,0.05334602,2.100237938
4,0.89,0.656,434.485,1392.1984,27.8733301,22.60348247,89.69296,60.914765,0.085986526,2.583148059,0.049389725,2.71852431
1,0.85,0.656,437.6254,1321.9796,32.02482628,20.6952453,90.37248,59.949625,0.096648568,2.677993705,0.058397362,2.833039635
1,0.86,0.656,436.8403,1315.5343,28.2547969,17.41887479,90.2026,60.19091,0.128389437,4.311039598,0.054016291,4.493445326
4,0.87,0.618,436.0552,1309.089,30.56973415,19.20978501,90.03272,60.432195,0.060044292,2.234012072,0.05177671,2.345833074
5,0.87,0.689,435.2701,1350.6437,27.43176224,20.15569302,89.86284,60.67348,0.094300405,1.952591512,0.05334602,2.100237938
4,0.89,0.656,434.485,1392.1984,27.8733301,22.60348247,89.69296,60.914765,0.085986526,2.583148059,0.049389725,2.71852431
3,0.97,0.768,433.6999,1433.7531,29.19490226,20.08301908,89.52308,61.15605,0.088489262,3.454371126,0.044295343,3.587155731
3,0.95,0.89,432.9148,1475.3078,32.79680787,24.25711435,89.3532,61.397335,0.063848172,2.144994523,0.043842145,2.252684841
1,0.83,0.667,440.7658,1347.7608,28.56417307,23.15871466,89.5112,58.984485,0.062402933,2.064192596,0.049389725,2.175985253
1,0.83,0.656,439.9807,1341.3155,30.08344607,24.71044665,90.11172,59.22577,0.072773075,1.998280957,0.044295343,2.115349376
1,0.84,0.656,439.1956,1334.8702,28.81958179,23.63754418,90.71224,59.467055,0.099982583,2.60717358,0.043842145,2.750998308
1,0.85,0.656,437.6254,1321.9796,32.02482628,20.6952453,90.37248,59.949625,0.096648568,2.677993705,0.058397362,2.833039635
1,0.86,0.656,436.8403,1315.5343,28.2547969,17.41887479,90.2026,60.19091,0.128389437,4.311039598,0.054016291,4.493445326
4,0.87,0.618,436.0552,1309.089,30.56973415,19.20978501,90.03272,60.432195,0.060044292,2.234012072,0.05177671,2.345833074
5,0.87,0.689,435.2701,1350.6437,27.43176224,20.15569302,89.86284,60.67348,0.094300405,1.952591512,0.05334602,2.100237938
4,0.89,0.656,434.485,1392.1984,27.8733301,22.60348247,89.69296,60.914765,0.085986526,2.583148059,0.049389725,2.71852431
3,0.97,0.768,433.6999,1433.7531,29.19490226,20.08301908,89.52308,61.15605,0.088489262,3.454371126,0.044295343,3.587155731
3,0.95,0.89,432.9148,1475.3078,32.79680787,24.25711435,89.3532,61.397335,0.063848172,2.144994523,0.043842145,2.252684841
1,0.83,0.667,440.7658,1347.7608,28.56417307,23.15871466,89.5112,58.984485,0.062402933,2.064192596,0.049389725,2.175985253
1,0.85,0.656,437.6254,1321.9796,32.02482628,20.6952453,90.37248,59.949625,0.096648568,2.677993705,0.058397362,2.833039635
1,0.86,0.656,436.8403,1315.5343,28.2547969,17.41887479,90.2026,60.19091,0.128389437,4.311039598,0.054016291,4.493445326
4,0.87,0.618,436.0552,1309.089,30.56973415,19.20978501,90.03272,60.432195,0.060044292,2.234012072,0.05177671,2.345833074
5,0.87,0.689,435.2701,1350.6437,27.43176224,20.15569302,89.86284,60.67348,0.094300405,1.952591512,0.05334602,2.100237938
4,0.89,0.656,434.485,1392.1984,27.8733301,22.60348247,89.69296,60.914765,0.085986526,2.583148059,0.049389725,2.71852431
3,0.97,0.768,433.6999,1433.7531,29.19490226,20.08301908,89.52308,61.15605,0.088489262,3.454371126,0.044295343,3.587155731
3,0.95,0.89,432.9148,1475.3078,32.79680787,24.25711435,89.3532,61.397335,0.063848172,2.144994523,0.043842145,2.252684841
1,0.83,0.667,440.7658,1347.7608,28.56417307,23.15871466,89.5112,58.984485,0.062402933,2.064192596,0.049389725,2.175985253
1,0.83,0.656,439.9807,1341.3155,30.08344607,24.71044665,90.11172,59.22577,0.072773075,1.998280957,0.044295343,2.115349376
1,0.84,0.656,439.1956,1334.8702,28.81958179,23.63754418,90.71224,59.467055,0.099982583,2.60717358,0.043842145,2.750998308
1,0.85,0.656,438.4105,1328.4249,32.27602751,23.27236816,90.54236,59.70834,0.060718191,1.786242277,0.054068728,1.901029196
1,0.85,0.656,437.6254,1321.9796,32.02482628,20.6952453,90.37248,59.949625,0.096648568,2.677993705,0.058397362,2.833039635
3,0.95,0.821,445.7158159,1458.2292,30.76797218,21.12310733,76.996,54.296725,0.095600422,2.036884283,0.057122724,2.189607429
3,0.96,0.832,445.4440317,1466.7839,29.00246609,20.64237776,76.1634,53.7239,0.096898466,2.542088428,0.057878923,2.696865817
2,0.91,0.843,445.1722476,1475.3386,28.29032638,19.7063171,75.3308,53.151075,0.071638209,2.400136828,0.05357673,2.525351767
4,0.98,0.854,444.9004635,1483.8933,27.88350879,22.41331712,74.4982,53.17236,0.105014613,1.817800677,0.059824203,1.982639493
5,0.99,0.865,444.6286793,1492.448,31.14134975,17.07056122,75.09872,53.193645,0.095580524,2.804790076,0.053591204,2.953961804
3,1.1,0.876,444.3568952,1501.0027,31.4828071,24.71979923,75.69924,53.43493,0.107222171,2.273199609,0.054436738,2.434858517
5,1.12,0.887,444.0851111,1509.5574,30.01110278,20.02874684,76.29976,53.676215,0.079786062,2.724177085,0.044655847,2.848618994
4,1.11,0.898,443.813327,1518.1121,33.99632569,15.45323155,76.90028,53.9175,0.07496234,2.44440427,0.045546492,2.564913102
3,0.95,0.821,445.7158159,1458.2292,30.76797218,21.12310733,76.996,54.296725,0.095600422,2.036884283,0.057122724,2.189607429
3,0.96,0.832,445.4440317,1466.7839,29.00246609,20.64237776,76.1634,53.7239,0.096898466,2.542088428,0.057878923,2.696865817
2,0.91,0.843,445.1722476,1475.3386,28.29032638,19.7063171,75.3308,53.151075,0.071638209,2.400136828,0.05357673,2.525351767
4,0.98,0.854,444.9004635,1483.8933,27.88350879,22.41331712,74.4982,53.17236,0.105014613,1.817800677,0.059824203,1.982639493
5,0.99,0.865,444.6286793,1492.448,31.14134975,17.07056122,75.09872,53.193645,0.095580524,2.804790076,0.053591204,2.953961804
3,1.1,0.876,444.3568952,1501.0027,31.4828071,24.71979923,75.69924,53.43493,0.107222171,2.273199609,0.054436738,2.434858517
5,1.12,0.887,444.0851111,1509.5574,30.01110278,20.02874684,76.29976,53.676215,0.079786062,2.724177085,0.044655847,2.848618994
4,1.11,0.898,443.813327,1518.1121,33.99632569,15.45323155,76.90028,53.9175,0.07496234,2.44440427,0.045546492,2.564913102
3,1.21,0.887,443.5415428,1526.6668,34.15986934,17.35513582,77.5008,54.158785,0.111750739,2.286925982,0.064272024,2.462948745
3,0.95,0.821,445.7158159,1458.2292,30.76797218,21.12310733,76.996,54.296725,0.095600422,2.036884283,0.057122724,2.189607429
3,0.96,0.832,445.4440317,1466.7839,29.00246609,20.64237776,76.1634,53.7239,0.096898466,2.542088428,0.057878923,2.696865817
2,0.91,0.843,445.1722476,1475.3386,28.29032638,19.7063171,75.3308,53.151075,0.071638209,2.400136828,0.05357673,2.525351767
4,0.98,0.854,444.9004635,1483.8933,27.88350879,22.41331712,74.4982,53.17236,0.105014613,1.817800677,0.059824203,1.982639493
5,0.99,0.865,444.6286793,1492.448,31.14134975,17.07056122,75.09872,53.193645,0.095580524,2.804790076,0.053591204,2.953961804
3,1.1,0.876,444.3568952,1501.0027,31.4828071,24.71979923,75.69924,53.43493,0.107222171,2.273199609,0.054436738,2.434858517
5,1.12,0.887,444.0851111,1509.5574,30.01110278,20.02874684,76.29976,53.676215,0.079786062,2.724177085,0.044655847,2.848618994
4,1.11,0.898,443.813327,1518.1121,33.99632569,15.45323155,76.90028,53.9175,0.07496234,2.44440427,0.045546492,2.564913102
3,1.21,0.887,443.5415428,1526.6668,34.15986934,17.35513582,77.5008,54.158785,0.111750739,2.286925982,0.064272024,2.462948745
3,0.95,0.821,445.7158159,1458.2292,30.76797218,21.12310733,76.996,54.296725,0.095600422,2.036884283,0.057122724,2.189607429
3,0.96,0.832,445.4440317,1466.7839,29.00246609,20.64237776,76.1634,53.7239,0.096898466,2.542088428,0.057878923,2.696865817
2,0.91,0.843,445.1722476,1475.3386,28.29032638,19.7063171,75.3308,53.151075,0.071638209,2.400136828,0.05357673,2.525351767
4,0.98,0.854,444.9004635,1483.8933,27.88350879,22.41331712,74.4982,53.17236,0.105014613,1.817800677,0.059824203,1.982639493
5,0.99,0.865,444.6286793,1492.448,31.14134975,17.07056122,75.09872,53.193645,0.095580524,2.804790076,0.053591204,2.953961804
3,1.1,0.876,444.3568952,1501.0027,31.4828071,24.71979923,75.69924,53.43493,0.107222171,2.273199609,0.054436738,2.434858517
5,1.12,0.887,444.0851111,1509.5574,30.01110278,20.02874684,76.29976,53.676215,0.079786062,2.724177085,0.044655847,2.848618994
4,1.11,0.898,443.813327,1518.1121,33.99632569,15.45323155,76.90028,53.9175,0.07496234,2.44440427,0.045546492,2.564913102
3,1.21,0.887,443.5415428,1526.6668,34.15986934,17.35513582,77.5008,54.158785,0.111750739,2.286925982,0.064272024,2.462948745
3,0.95,0.821,445.7158159,1458.2292,30.76797218,21.12310733,76.996,54.296725,0.095600422,2.036884283,0.057122724,2.189607429
3,0.96,0.832,445.4440317,1466.7839,29.00246609,20.64237776,76.1634,53.7239,0.096898466,2.542088428,0.057878923,2.696865817
2,0.91,0.843,445.1722476,1475.3386,28.29032638,19.7063171,75.3308,53.151075,0.071638209,2.400136828,0.05357673,2.525351767
4,0.98,0.854,444.9004635,1483.8933,27.88350879,22.41331712,74.4982,53.17236,0.105014613,1.817800677,0.059824203,1.982639493
5,0.99,0.865,444.6286793,1492.448,31.14134975,17.07056122,75.09872,53.193645,0.095580524,2.804790076,0.053591204,2.953961804
3,1.1,0.876,444.3568952,1501.0027,31.4828071,24.71979923,75.69924,53.43493,0.107222171,2.273199609,0.054436738,2.434858517
5,1.12,0.887,444.0851111,1509.5574,30.01110278,20.02874684,76.29976,53.676215,0.079786062,2.724177085,0.044655847,2.848618994
4,1.11,0.898,443.813327,1518.1121,33.99632569,15.45323155,76.90028,53.9175,0.07496234,2.44440427,0.045546492,2.564913102
3,1.21,0.887,443.5415428,1526.6668,34.15986934,17.35513582,77.5008,54.158785,0.111750739,2.286925982,0.064272024,2.462948745
5,1.3,0.876,443.2697587,1535.2215,32.95651572,19.30931979,78.10132,54.40007,0.078432083,2.78776516,0.045862158,2.912059401
4,1.3,0.865,442.9979746,1543.7762,28.15633725,20.73308075,78.70184,54.641355,0.056867048,1.523989074,0.043378384,1.624234506
3,0.9,1,427.500606,1356.9,32.29096586,21.13436883,89.6579,65.978,0.121486116,2.918206461,0.057519452,3.097212029
4,0.8,1,426.53551,1456.98,29.24368714,21.96740476,89.3504,65.9734,0.154175987,1.452489696,0.054401487,1.66106717
3,1,0.9,425.570414,1345.09,30.30912826,23.24061241,89.0429,65.9688,0.074839855,2.30599034,0.054861267,2.435691461
3,1.1,0.8,424.605318,1453.9,29.63538233,20.15761087,88.7354,65.9642,0.053877705,2.090302845,0.050311415,2.194491965
4,1.1,0.7,423.640222,1562.71,28.3640182,22.7602948,88.4279,65.9596,0.131421236,2.948113743,0.05714359,3.136678568
5,1.1,0.6,422.675126,1671.52,33.67462707,16.39674756,88.1204,65.955,0.074498049,2.929496428,0.053397825,3.057392301
5,1.3,0.5,421.71003,1780.33,28.4297682,19.03492782,87.8129,65.9504,0.121423668,3.018540091,0.043778991,3.18374275
4,1.2,0.61,420.744934,1765.987,28.81493303,20.20108064,87.5054,65.9458,0.105362774,1.706021951,0.050460565,1.86184529
3,1,0.65,419.779838,1751.644,33.55678636,21.88326702,87.1979,65.9412,0.072452125,1.870953943,0.054817101,1.998223169
3,0.9,0.67,418.814742,1737.301,27.93175356,19.51071382,86.8904,65.9366,0.064116242,1.663836354,0.045406335,1.773358931
4,0.9,0.69,417.849646,1722.958,30.71402967,22.34481642,86.5829,65.932,0.073677202,2.739318075,0.046151851,2.859147128
5,0.8,0.71,416.88455,1708.615,28.7829484,18.4457409,86.2754,65.9274,0.089351064,2.074811268,0.044380938,2.20854327
4,0.9,0.73,415.919454,1694.272,33.31853978,21.30870445,85.9679,65.9228,0.111536912,2.895171297,0.066613476,3.073321685
3,0.8,0.75,414.954358,1679.929,32.14080352,19.34089802,85.6604,65.9182,0.136591139,2.165795193,0.051096882,2.353483214
2,0.7,0.723,413.989262,1665.586,30.84823204,21.15271696,85.3529,65.9136,0.178995961,3.0196347,0.065712236,3.264342897
3,0.8,0.696,413.024166,1651.243,33.49412635,20.31114342,85.0454,65.909,0.099008184,1.670376139,0.049291552,1.818675875
2,0.7,0.669,412.05907,1636.9,32.25668584,21.57981179,84.7379,65.9044,0.13918271,2.841945416,0.046876353,3.02800448
2,0.7,0.642,411.093974,1622.557,32.83228955,18.60768107,84.4304,65.8998,0.076247279,1.72033747,0.054574137,1.851158886
2,0.7,0.615,412.0987,1608.214,31.80023987,21.31824099,84.1229,65.617625,0.122633235,2.836192708,0.051527286,3.010353229
2,0.7,0.588,413.103426,1593.871,30.03784194,21.27936825,83.8154,65.33545,0.083859748,1.273693511,0.041712852,1.399266111
2,0.6,0.561,414.108152,1579.528,28.98043426,20.59691557,83.5079,65.053275,0.096819004,2.407154752,0.055145667,2.559119424
1,0.6,0.534,415.112878,1565.185,31.97850665,18.42216658,83.2004,64.7711,0.086916717,2.739178157,0.047684484,2.873779359
4,0.8,0.507,416.117604,1550.842,32.86836028,17.12723302,82.8929,64.488925,0.102356309,1.400457453,0.056165637,1.558979399
3,0.8,0.48,417.12233,1536.499,30.61846546,22.17939295,82.5854,64.20675,0.092400572,2.949751186,0.056451804,3.098603562
3,0.8,0.491,418.127056,1522.156,30.68977052,20.73481414,82.8762,63.924575,0.069277833,1.894980452,0.057462203,2.021720488
3,0.8,0.502,419.131782,1507.813,30.23987716,21.43033393,83.167,63.6424,0.066682669,1.948508672,0.051030047,2.066221388
